User_ID,Date,Stock,Action,Quantity,Price,Trade_Type,Profit_Loss
U033,2025-06-27,RELIANCE,Sell,10,1399.78,Option,662.4
U044,2025-06-10,BANKNIFTY,Sell,10,1781.67,Future,318.1
U042,2025-07-04,NIFTY,Sell,20,2659.57,Future,-875.84
U021,2025-07-03,SBIN,Buy,1,743.67,Future,510.81
U022,2025-06-08,SBIN,Buy,5,2079.22,Intraday,808.56
U021,2025-06-08,TCS,Buy,10,2459.21,Intraday,865.89
U044,2025-06-12,NIFTY,Buy,20,728.79,Delivery,33.48
U039,2025-06-22,ITC,Buy,10,2429.0,Intraday,702.34
U030,2025-06-11,INFY,Buy,50,2655.11,Option,-623.71
U038,2025-07-10,SBIN,Sell,50,775.02,Option,-650.23
U045,2025-07-28,INFY,Buy,1,2002.47,Option,971.37
U033,2025-07-11,NIFTY,Buy,1,2587.32,Intraday,-876.56
U044,2025-07-18,ITC,Sell,1,2395.51,Intraday,-497.3
U002,2025-06-26,BANKNIFTY,Sell,50,1245.84,Delivery,-818.18
U041,2025-07-17,RELIANCE,Sell,5,785.38,Delivery,-164.36
U029,2025-06-23,NIFTY,Buy,10,1519.75,Delivery,11.76
U003,2025-06-08,TCS,Buy,5,1040.95,Future,87.49
U004,2025-07-23,ADANIENT,Sell,20,1509.07,Option,340.39
U007,2025-06-16,RELIANCE,Sell,1,1027.57,Delivery,-668.56
U042,2025-06-21,ADANIENT,Sell,5,1871.35,Future,-90.33
U042,2025-07-13,NIFTY,Buy,10,2715.67,Option,-98.01
U030,2025-06-11,SBIN,Buy,5,2091.62,Option,157.84
U027,2025-07-07,ICICIBANK,Buy,50,2822.49,Intraday,870.07
U031,2025-07-08,HDFC,Buy,20,1571.02,Delivery,754.69
U010,2025-06-27,BANKNIFTY,Buy,5,1663.62,Delivery,-919.04
U049,2025-06-20,ICICIBANK,Sell,20,2704.56,Future,903.79
U011,2025-06-16,RELIANCE,Sell,10,1562.66,Delivery,348.1
U050,2025-08-04,BANKNIFTY,Sell,5,1123.16,Option,874.59
U033,2025-06-19,NIFTY,Buy,1,1359.1,Delivery,-408.28
U022,2025-06-17,RELIANCE,Buy,5,2947.11,Option,238.79
U008,2025-06-25,BANKNIFTY,Buy,20,1292.61,Delivery,-924.84
U024,2025-06-11,RELIANCE,Buy,10,1184.82,Intraday,-321.43
U013,2025-06-15,RELIANCE,Sell,20,2517.46,Intraday,-903.15
U003,2025-07-02,HDFC,Buy,1,1956.8,Delivery,-309.36
U026,2025-07-04,NIFTY,Buy,5,342.25,Future,587.49
U037,2025-06-08,RELIANCE,Buy,50,358.17,Intraday,98.39
U029,2025-06-09,BANKNIFTY,Sell,10,1358.4,Intraday,-680.55
U048,2025-07-18,BANKNIFTY,Buy,5,1948.21,Delivery,-682.18
U039,2025-07-11,NIFTY,Sell,1,743.33,Option,-335.71
U013,2025-07-18,BANKNIFTY,Sell,50,2491.54,Future,-606.75
U016,2025-06-16,RELIANCE,Sell,1,2798.1,Option,-573.65
U016,2025-07-09,RELIANCE,Buy,50,2235.38,Option,208.79
U042,2025-06-29,INFY,Buy,1,845.82,Delivery,813.5
U017,2025-07-21,BANKNIFTY,Sell,1,686.72,Option,-759.0
U011,2025-07-08,ITC,Buy,10,1991.13,Intraday,-253.57
U002,2025-06-15,BANKNIFTY,Buy,10,277.39,Intraday,-984.18
U002,2025-07-29,BANKNIFTY,Buy,50,2387.88,Intraday,836.26
U002,2025-07-07,ITC,Sell,1,1404.78,Option,-617.32
U011,2025-06-13,NIFTY,Buy,5,1105.52,Future,-827.16
U048,2025-07-25,ITC,Buy,1,1149.12,Intraday,611.58
U041,2025-06-13,BANKNIFTY,Buy,10,1438.32,Intraday,600.11
U020,2025-07-18,HDFC,Buy,50,822.46,Delivery,-613.99
U044,2025-07-22,NIFTY,Sell,10,2276.32,Intraday,-925.0
U039,2025-06-28,HDFC,Sell,5,1140.9,Delivery,-100.74
U030,2025-06-22,BANKNIFTY,Sell,50,571.6,Delivery,-951.0
U033,2025-07-09,ADANIENT,Buy,50,1532.68,Intraday,-114.84
U044,2025-07-09,ITC,Buy,50,2956.95,Intraday,766.56
U048,2025-06-18,BANKNIFTY,Buy,1,2623.05,Option,937.48
U012,2025-07-08,RELIANCE,Buy,20,563.88,Future,771.08
U012,2025-06-28,SBIN,Sell,20,430.98,Intraday,155.27
U006,2025-06-26,TCS,Buy,20,2990.62,Delivery,-383.17
U014,2025-07-09,INFY,Buy,50,2580.71,Option,451.38
U042,2025-07-13,SBIN,Buy,5,1739.54,Option,-157.09
U005,2025-07-22,HDFC,Buy,50,1895.16,Future,232.02
U020,2025-06-17,HDFC,Sell,50,2822.23,Option,55.25
U031,2025-07-08,INFY,Buy,1,1643.95,Option,422.6
U011,2025-07-08,HDFC,Buy,50,2772.3,Delivery,-850.82
U035,2025-07-07,INFY,Buy,50,2741.02,Future,-768.04
U014,2025-07-21,BANKNIFTY,Buy,10,989.76,Future,372.86
U048,2025-06-07,TCS,Sell,10,2794.14,Option,960.19
U014,2025-06-22,ITC,Sell,10,182.4,Delivery,16.08
U015,2025-06-19,SBIN,Buy,5,256.47,Future,844.0
U031,2025-06-18,ADANIENT,Sell,20,1650.35,Future,-299.13
U040,2025-07-06,INFY,Buy,20,2757.68,Future,-690.44
U040,2025-07-06,BANKNIFTY,Buy,10,1151.77,Option,990.78
U002,2025-06-28,HDFC,Sell,1,882.99,Intraday,260.73
U001,2025-07-15,ITC,Sell,10,354.85,Option,227.26
U023,2025-07-08,NIFTY,Buy,5,307.21,Option,849.72
U049,2025-06-26,HDFC,Sell,50,1211.05,Delivery,507.24
U025,2025-07-09,SBIN,Buy,5,1099.1,Delivery,-354.38
U021,2025-06-09,SBIN,Sell,1,1824.16,Option,669.57
U030,2025-06-11,TCS,Sell,20,408.73,Intraday,-285.47
U034,2025-06-11,ICICIBANK,Buy,1,2172.72,Future,281.89
U035,2025-07-11,BANKNIFTY,Sell,50,2751.43,Intraday,529.38
U049,2025-07-16,HDFC,Sell,5,903.48,Delivery,-878.16
U032,2025-07-07,SBIN,Buy,20,663.07,Future,632.51
U028,2025-07-06,RELIANCE,Buy,10,1754.09,Delivery,-911.84
U016,2025-08-03,SBIN,Buy,50,2770.16,Delivery,-308.8
U001,2025-07-04,RELIANCE,Sell,50,461.12,Intraday,374.23
U046,2025-07-31,INFY,Sell,5,2458.41,Option,374.66
U036,2025-06-28,TCS,Buy,20,1237.87,Option,67.41
U006,2025-06-22,ITC,Sell,5,2410.61,Option,785.74
U009,2025-06-09,ICICIBANK,Sell,10,108.44,Delivery,-959.22
U021,2025-08-01,INFY,Buy,5,2333.73,Future,110.32
U015,2025-07-10,ICICIBANK,Buy,10,1483.79,Option,-390.05
U021,2025-08-04,HDFC,Buy,10,1271.81,Option,145.39
U040,2025-07-02,BANKNIFTY,Buy,1,1036.33,Delivery,-78.95
U016,2025-07-28,TCS,Sell,10,551.35,Intraday,921.03
U016,2025-07-31,TCS,Sell,10,615.63,Option,-915.5
U023,2025-06-08,INFY,Sell,20,169.95,Option,711.71
U029,2025-07-17,RELIANCE,Buy,20,763.39,Option,-81.89
U033,2025-06-09,TCS,Buy,10,1174.34,Future,563.69
U037,2025-07-31,BANKNIFTY,Sell,5,221.27,Future,843.69
U003,2025-06-28,RELIANCE,Sell,20,535.42,Delivery,986.09
U016,2025-07-03,ITC,Buy,20,528.18,Future,955.19
U015,2025-08-01,NIFTY,Sell,10,1044.4,Delivery,-731.29
U039,2025-07-18,NIFTY,Buy,20,958.25,Intraday,273.97
U020,2025-06-22,ITC,Sell,1,867.41,Option,695.44
U009,2025-07-14,ADANIENT,Buy,5,2727.37,Future,-810.17
U018,2025-07-30,ICICIBANK,Buy,5,2765.21,Future,-828.38
U027,2025-06-14,TCS,Buy,20,1442.96,Option,667.08
U047,2025-07-11,SBIN,Sell,1,2288.65,Option,-811.64
U045,2025-06-20,NIFTY,Sell,5,2217.26,Intraday,-627.93
U026,2025-08-03,ICICIBANK,Sell,10,2019.69,Option,-857.05
U001,2025-06-09,TCS,Buy,1,974.5,Delivery,-524.29
U017,2025-07-01,NIFTY,Sell,1,2139.54,Delivery,882.24
U042,2025-08-03,HDFC,Sell,10,1232.88,Option,357.12
U009,2025-07-27,ADANIENT,Buy,5,1701.39,Future,395.85
U047,2025-07-15,HDFC,Sell,50,658.19,Intraday,-648.56
U001,2025-07-25,SBIN,Buy,1,2212.48,Future,453.6
U039,2025-07-28,ICICIBANK,Sell,50,629.2,Intraday,33.24
U016,2025-07-04,SBIN,Sell,5,1285.56,Option,-10.27
U003,2025-07-27,BANKNIFTY,Buy,20,1088.29,Intraday,616.48
U039,2025-07-14,BANKNIFTY,Sell,20,2298.75,Intraday,-461.8
U025,2025-06-17,ICICIBANK,Buy,5,2242.32,Future,748.52
U023,2025-06-17,ICICIBANK,Sell,50,2095.54,Intraday,922.32
U022,2025-06-17,TCS,Sell,10,2058.54,Future,929.44
U037,2025-06-27,ITC,Sell,10,163.39,Future,-611.07
U043,2025-07-28,BANKNIFTY,Buy,1,2167.08,Delivery,962.79
U039,2025-07-30,BANKNIFTY,Buy,50,2010.43,Future,379.04
U050,2025-06-11,TCS,Buy,5,1204.13,Future,-743.01
U006,2025-06-19,RELIANCE,Buy,5,2867.76,Intraday,255.2
U032,2025-07-20,SBIN,Buy,50,860.07,Future,-542.96
U029,2025-06-25,ITC,Sell,20,299.11,Future,863.28
U030,2025-07-22,INFY,Buy,1,2990.9,Delivery,328.53
U047,2025-07-19,BANKNIFTY,Sell,5,1059.71,Future,73.76
U047,2025-06-18,ITC,Sell,5,1113.46,Future,-205.42
U035,2025-07-19,ITC,Sell,1,1557.5,Future,-315.8
U004,2025-08-03,SBIN,Buy,10,574.74,Option,-106.37
U005,2025-07-18,INFY,Sell,1,1742.19,Delivery,-515.59
U017,2025-06-27,NIFTY,Sell,5,1577.76,Delivery,-57.4
U016,2025-07-23,INFY,Sell,10,828.45,Future,-132.4
U002,2025-07-28,TCS,Sell,50,446.69,Option,801.18
U046,2025-07-27,INFY,Buy,50,1500.78,Intraday,-839.84
U030,2025-07-20,ADANIENT,Buy,10,390.76,Future,108.71
U049,2025-06-15,INFY,Buy,50,1941.43,Delivery,-811.64
U028,2025-06-14,HDFC,Buy,50,320.4,Option,-463.59
U013,2025-06-24,INFY,Buy,20,434.68,Intraday,644.67
U029,2025-07-14,HDFC,Sell,1,2274.48,Option,-983.57
U016,2025-06-10,INFY,Buy,5,1142.16,Future,-319.55
U002,2025-06-08,ADANIENT,Buy,50,977.6,Future,-69.26
U007,2025-08-02,ITC,Buy,20,1575.69,Delivery,398.35
U037,2025-07-02,BANKNIFTY,Buy,1,2230.59,Intraday,-292.23
U010,2025-06-16,ITC,Buy,50,1414.3,Future,-579.56
U006,2025-07-28,ITC,Sell,10,2922.08,Intraday,-28.57
U031,2025-07-11,TCS,Sell,5,2054.06,Intraday,178.9
U047,2025-06-20,RELIANCE,Buy,20,2775.86,Future,213.79
U016,2025-06-18,ITC,Sell,5,2507.3,Delivery,-419.9
U031,2025-07-29,SBIN,Sell,5,568.94,Intraday,-531.53
U012,2025-08-03,ITC,Buy,10,142.38,Intraday,-527.52
U021,2025-06-08,RELIANCE,Sell,50,2230.08,Option,-556.05
U016,2025-07-28,RELIANCE,Sell,50,2278.31,Intraday,-964.67
U012,2025-07-15,BANKNIFTY,Buy,10,2754.78,Future,815.36
U026,2025-07-12,BANKNIFTY,Buy,50,330.71,Intraday,-412.7
U022,2025-06-16,ADANIENT,Sell,5,1929.14,Intraday,-575.35
U016,2025-06-22,TCS,Buy,5,1189.87,Delivery,503.93
U041,2025-06-25,NIFTY,Buy,5,2765.96,Option,674.71
U004,2025-08-04,HDFC,Sell,5,116.38,Option,319.9
U010,2025-07-28,RELIANCE,Buy,5,2184.58,Future,176.8
U014,2025-07-23,BANKNIFTY,Buy,1,1842.93,Intraday,162.68
U006,2025-07-18,TCS,Sell,1,1846.51,Delivery,921.9
U045,2025-07-14,SBIN,Sell,50,2060.12,Delivery,601.53
U002,2025-08-04,ADANIENT,Sell,20,2788.96,Option,-10.87
U009,2025-06-28,TCS,Sell,50,2891.65,Delivery,266.04
U003,2025-06-19,BANKNIFTY,Buy,10,2243.82,Future,-107.78
U047,2025-08-03,ADANIENT,Buy,1,370.3,Future,-983.72
U005,2025-06-29,BANKNIFTY,Sell,1,1294.19,Option,594.69
U013,2025-07-05,ICICIBANK,Buy,50,1843.65,Delivery,516.48
U030,2025-07-21,HDFC,Sell,1,1992.89,Intraday,448.42
U004,2025-06-14,HDFC,Buy,5,597.56,Future,552.86
U023,2025-07-06,TCS,Buy,20,2737.76,Option,528.55
U012,2025-07-08,SBIN,Buy,10,332.93,Delivery,916.98
U041,2025-07-24,INFY,Buy,10,2532.33,Intraday,733.27
U027,2025-06-10,ITC,Sell,50,274.94,Delivery,-677.26
U045,2025-07-24,BANKNIFTY,Buy,20,2418.6,Delivery,-555.37
U043,2025-06-18,BANKNIFTY,Buy,20,1559.25,Delivery,-945.8
U048,2025-07-19,INFY,Buy,10,1654.56,Option,764.8
U002,2025-07-06,ADANIENT,Sell,5,608.81,Future,-441.49
U020,2025-06-21,ICICIBANK,Sell,10,1247.27,Option,708.56
U017,2025-06-17,ICICIBANK,Sell,1,1927.56,Delivery,-910.47
U045,2025-07-26,TCS,Buy,5,1928.82,Future,-301.72
U032,2025-06-12,RELIANCE,Buy,5,1503.54,Delivery,-696.29
U017,2025-07-12,NIFTY,Sell,10,2053.62,Option,594.05
U013,2025-06-18,NIFTY,Sell,5,1500.62,Future,-239.72
U024,2025-06-16,INFY,Buy,5,1242.03,Future,-56.58
U018,2025-06-08,ICICIBANK,Sell,20,902.6,Future,-433.85
U045,2025-07-11,SBIN,Buy,10,205.71,Option,665.06
U050,2025-07-24,ITC,Sell,50,2736.67,Delivery,-544.7
U021,2025-06-10,ADANIENT,Buy,10,133.67,Delivery,-140.62
U047,2025-07-06,ITC,Buy,1,2825.51,Option,-710.42
U045,2025-06-24,TCS,Sell,50,1780.02,Option,-232.59
U029,2025-07-23,INFY,Sell,10,2890.62,Delivery,310.6
U046,2025-07-21,RELIANCE,Buy,1,2491.76,Future,-240.12
U036,2025-06-08,ADANIENT,Sell,10,1238.91,Delivery,386.59
U039,2025-07-30,ICICIBANK,Buy,1,648.64,Option,-903.88
U048,2025-07-08,SBIN,Buy,5,2018.17,Future,246.49
U008,2025-07-17,ADANIENT,Buy,20,713.52,Option,111.67
U033,2025-07-22,RELIANCE,Sell,50,1313.96,Option,799.44
U045,2025-08-03,RELIANCE,Buy,10,1250.29,Future,-60.55
U028,2025-08-02,INFY,Sell,5,359.23,Intraday,-668.77
U025,2025-07-25,ICICIBANK,Sell,50,2623.51,Intraday,201.94
U014,2025-07-28,ICICIBANK,Sell,10,260.16,Future,323.48
U002,2025-06-22,NIFTY,Sell,10,2527.9,Intraday,-544.25
U043,2025-06-24,HDFC,Sell,20,2378.11,Future,291.19
U048,2025-07-08,NIFTY,Sell,50,2190.44,Intraday,-478.33
U024,2025-08-04,NIFTY,Buy,5,2127.61,Intraday,136.15
U043,2025-06-06,ICICIBANK,Sell,50,2388.64,Delivery,-520.96
U036,2025-07-20,BANKNIFTY,Buy,1,2612.67,Intraday,148.02
U004,2025-07-10,NIFTY,Buy,10,2246.11,Option,-457.25
U021,2025-06-08,INFY,Buy,1,1092.98,Intraday,413.64
U021,2025-07-28,BANKNIFTY,Sell,5,2021.3,Option,894.4
U047,2025-08-02,ICICIBANK,Sell,20,1179.96,Delivery,925.32
U028,2025-06-19,NIFTY,Sell,10,2402.76,Option,-690.29
U023,2025-07-31,HDFC,Sell,50,961.28,Option,211.33
U039,2025-06-19,ICICIBANK,Sell,20,1403.28,Future,403.42
U039,2025-06-30,INFY,Buy,50,2356.3,Option,392.0
U020,2025-06-21,SBIN,Sell,5,2550.52,Future,-341.02
U021,2025-07-08,ICICIBANK,Buy,5,170.53,Option,22.42
U016,2025-07-02,SBIN,Sell,1,529.29,Option,-652.37
U001,2025-06-21,INFY,Sell,5,197.61,Delivery,-822.48
U021,2025-07-23,NIFTY,Buy,5,508.69,Intraday,93.85
U009,2025-07-08,ICICIBANK,Sell,10,349.66,Future,-473.78
U019,2025-06-20,HDFC,Sell,50,2108.93,Delivery,915.48
U024,2025-07-18,ADANIENT,Buy,5,1901.03,Future,-978.89
U013,2025-06-20,ICICIBANK,Sell,50,1468.53,Future,836.39
U037,2025-06-13,NIFTY,Buy,1,113.45,Delivery,250.15
U006,2025-06-22,HDFC,Sell,1,206.07,Intraday,-878.92
U002,2025-06-26,SBIN,Buy,5,539.01,Delivery,309.47
U003,2025-06-13,BANKNIFTY,Buy,20,627.22,Future,-971.99
U034,2025-07-22,ICICIBANK,Sell,20,2112.92,Intraday,-353.12
U037,2025-06-28,SBIN,Sell,10,2603.89,Delivery,210.54
U033,2025-07-13,ICICIBANK,Sell,1,711.5,Future,452.7
U032,2025-06-19,INFY,Buy,10,2906.74,Intraday,-162.15
U002,2025-07-29,HDFC,Buy,5,2350.69,Intraday,966.65
U023,2025-07-28,ADANIENT,Buy,1,450.29,Future,-375.62
U002,2025-07-19,SBIN,Sell,5,769.1,Future,146.29
U019,2025-06-07,RELIANCE,Sell,5,2951.06,Intraday,-25.25
U024,2025-07-11,BANKNIFTY,Buy,1,424.46,Intraday,277.21
U049,2025-06-08,RELIANCE,Sell,20,405.9,Delivery,-928.32
U049,2025-07-15,SBIN,Sell,20,1955.31,Delivery,690.49
U044,2025-06-12,ADANIENT,Buy,5,2985.76,Intraday,626.31
U020,2025-07-03,ICICIBANK,Sell,5,2458.86,Intraday,-843.3
U008,2025-07-11,ITC,Buy,10,642.55,Delivery,763.87
U040,2025-06-29,RELIANCE,Sell,50,1263.52,Intraday,114.7
U008,2025-06-16,SBIN,Sell,50,402.05,Future,544.27
U038,2025-07-27,NIFTY,Sell,5,2194.65,Intraday,-280.65
U029,2025-06-21,INFY,Buy,1,2293.35,Option,460.07
U023,2025-07-01,ITC,Sell,20,964.57,Option,-328.62
U002,2025-06-19,HDFC,Buy,50,728.35,Option,357.53
U011,2025-07-15,BANKNIFTY,Sell,10,1138.06,Option,842.29
U022,2025-06-30,NIFTY,Buy,5,530.35,Delivery,-492.72
U005,2025-07-15,ICICIBANK,Sell,20,2775.61,Option,-11.83
U010,2025-06-22,TCS,Sell,1,975.13,Future,174.22
U028,2025-07-15,INFY,Buy,50,2358.42,Future,145.86
U017,2025-06-12,TCS,Sell,10,2767.0,Option,-35.36
U027,2025-07-28,NIFTY,Buy,5,2047.87,Option,583.73
U010,2025-06-21,ITC,Sell,50,2855.04,Intraday,521.53
U021,2025-07-29,SBIN,Sell,20,1347.16,Option,328.8
U029,2025-07-23,ITC,Buy,50,164.09,Future,-592.81
U033,2025-07-14,SBIN,Sell,20,2281.23,Intraday,-564.96
U009,2025-06-08,HDFC,Buy,10,1711.92,Delivery,-612.42
U049,2025-06-10,ITC,Sell,10,2111.21,Future,-902.64
U027,2025-07-15,HDFC,Sell,20,1658.26,Delivery,-49.83
U042,2025-06-11,SBIN,Sell,5,2065.37,Intraday,-610.37
U002,2025-06-21,SBIN,Buy,5,1637.04,Intraday,626.27
U013,2025-06-07,ITC,Buy,20,2202.07,Intraday,-990.81
U044,2025-06-07,HDFC,Sell,20,2486.76,Option,185.5
U025,2025-07-17,ICICIBANK,Buy,50,180.07,Future,-787.65
U001,2025-07-04,ADANIENT,Sell,20,326.11,Delivery,907.13
U005,2025-07-20,NIFTY,Buy,1,2836.47,Delivery,269.37
U025,2025-07-10,NIFTY,Buy,1,1694.53,Option,80.27
U034,2025-07-05,HDFC,Buy,1,2003.23,Delivery,-215.46
U023,2025-06-22,HDFC,Buy,1,905.07,Future,68.15
U020,2025-06-24,ITC,Sell,1,2445.59,Delivery,865.94
U040,2025-07-26,INFY,Buy,5,353.21,Option,-71.7
U002,2025-06-06,INFY,Sell,1,2366.26,Intraday,541.6
U008,2025-07-12,HDFC,Buy,1,2926.61,Delivery,245.97
U017,2025-08-01,BANKNIFTY,Buy,20,410.55,Intraday,494.84
U027,2025-06-10,ITC,Buy,1,2479.98,Future,-545.34
U006,2025-07-05,SBIN,Buy,10,2976.68,Intraday,-766.02
U033,2025-06-20,ITC,Sell,1,2943.69,Intraday,10.54
U050,2025-06-27,ICICIBANK,Sell,1,2291.73,Option,-161.29
U034,2025-07-06,BANKNIFTY,Buy,50,2217.64,Intraday,212.32
U038,2025-06-12,HDFC,Buy,20,1824.93,Delivery,977.47
U050,2025-07-18,ADANIENT,Buy,5,1970.99,Delivery,598.73
U034,2025-07-01,ADANIENT,Sell,5,1443.48,Delivery,-164.4
U047,2025-07-21,ADANIENT,Buy,20,1017.72,Future,-251.22
U020,2025-07-14,INFY,Buy,50,2474.61,Option,717.04
U039,2025-07-20,ITC,Sell,5,1752.62,Future,902.07
U010,2025-06-19,BANKNIFTY,Buy,20,368.67,Delivery,-212.76
U049,2025-07-30,TCS,Buy,20,1321.82,Option,985.93
U005,2025-07-03,ICICIBANK,Buy,50,235.28,Delivery,-181.22
U034,2025-06-12,TCS,Buy,5,517.84,Delivery,-998.78
U016,2025-07-04,HDFC,Sell,10,652.36,Future,-21.99
U031,2025-07-08,ITC,Sell,50,215.21,Option,440.37
U022,2025-06-09,BANKNIFTY,Buy,50,2834.93,Delivery,732.98
U003,2025-07-21,INFY,Buy,1,2020.2,Future,733.07
U006,2025-06-15,NIFTY,Buy,10,641.34,Option,235.17
U025,2025-06-25,RELIANCE,Buy,1,2454.79,Future,-413.34
U047,2025-07-15,RELIANCE,Sell,5,2905.21,Future,429.66
U033,2025-07-09,RELIANCE,Sell,1,2589.95,Option,-516.72
U032,2025-07-19,ADANIENT,Buy,20,784.0,Option,-972.97
U014,2025-07-12,ITC,Buy,1,1066.93,Delivery,-661.21
U017,2025-07-16,TCS,Buy,20,1087.46,Intraday,614.87
U001,2025-07-30,ICICIBANK,Sell,5,2696.54,Intraday,751.39
U047,2025-06-19,HDFC,Buy,1,1501.23,Delivery,-213.57
U026,2025-06-23,ICICIBANK,Sell,5,1182.76,Option,-400.68
U040,2025-07-25,NIFTY,Sell,50,335.88,Option,723.95
U034,2025-07-18,RELIANCE,Buy,10,1017.11,Option,-86.73
U036,2025-06-27,ADANIENT,Buy,5,215.0,Future,-481.1
U024,2025-07-19,TCS,Sell,10,1740.1,Future,-982.87
U003,2025-07-10,RELIANCE,Sell,10,518.22,Delivery,57.47
U008,2025-06-30,RELIANCE,Buy,10,1536.35,Future,798.16
U044,2025-07-31,SBIN,Sell,50,652.93,Delivery,399.65
U001,2025-06-30,ITC,Sell,1,1303.42,Option,560.59
U035,2025-06-22,ADANIENT,Sell,20,2474.55,Option,-681.82
U045,2025-06-21,HDFC,Sell,5,2404.66,Intraday,-743.41
U042,2025-07-11,SBIN,Buy,10,2566.72,Delivery,-165.57
U034,2025-06-28,INFY,Sell,5,2440.33,Delivery,451.73
U035,2025-07-16,RELIANCE,Buy,5,2205.78,Option,628.19
U029,2025-06-11,NIFTY,Sell,20,2600.73,Future,353.05
U031,2025-07-10,ITC,Buy,10,2362.26,Delivery,503.6
U031,2025-06-09,SBIN,Sell,1,178.47,Delivery,-779.6
U022,2025-06-20,HDFC,Buy,20,1854.42,Future,568.6
U020,2025-06-07,HDFC,Sell,10,1659.38,Future,-478.25
U045,2025-07-19,RELIANCE,Buy,20,1512.44,Delivery,663.14
U048,2025-06-12,ADANIENT,Buy,10,2257.21,Intraday,-581.56
U031,2025-06-27,TCS,Sell,5,2040.81,Delivery,-494.49
U030,2025-07-27,ICICIBANK,Buy,20,1249.25,Delivery,-894.86
U003,2025-07-09,ADANIENT,Buy,10,275.91,Option,805.38
U021,2025-06-16,TCS,Buy,1,142.71,Future,950.39
U036,2025-06-08,HDFC,Buy,10,2661.27,Intraday,-16.32
U046,2025-06-18,BANKNIFTY,Buy,50,2171.33,Option,-526.12
U011,2025-06-25,SBIN,Buy,50,175.79,Future,-189.52
U046,2025-08-03,HDFC,Buy,20,2729.61,Intraday,-112.54
U037,2025-06-13,ICICIBANK,Buy,1,2087.18,Intraday,720.88
U049,2025-07-27,INFY,Sell,10,373.99,Delivery,-437.99
U038,2025-06-30,ADANIENT,Buy,20,2116.46,Option,319.54
U038,2025-06-07,TCS,Sell,20,188.64,Delivery,944.13
U050,2025-06-24,BANKNIFTY,Buy,5,149.9,Future,172.0
U001,2025-07-05,NIFTY,Buy,50,1317.23,Option,740.89
U049,2025-06-24,ITC,Buy,10,682.33,Future,-514.55
U006,2025-07-30,INFY,Buy,10,863.2,Option,808.9
U014,2025-06-22,ADANIENT,Sell,1,479.6,Future,-107.5
U013,2025-08-04,ITC,Buy,5,2980.9,Future,397.59
U036,2025-07-19,NIFTY,Buy,5,2111.08,Intraday,-43.55
U042,2025-07-18,BANKNIFTY,Sell,5,1809.8,Intraday,671.65
U020,2025-06-29,HDFC,Buy,50,2781.05,Future,-463.15
